Team Name,ESPN_ID,Team Name,HR_franch,Division,Elo Rating,Sims,Games,Wins,Losses,OT/SO L,Points,Div. Rk,Win Div.%,Playoffs%,Ovr. Rk,Make 2nd Rd,Make 3rd Rd,Make Finals,Win Finals,Rem. SOS,Rank,Div vs Pre,PO vs Pre,3rd Rd vs Pre,Finals vs Pre,Cup vs Pre
Lightning,tb,Tampa Bay Lightning,TBL,Central,1604,2500,56.0,37.9,18.1,4.1,79.9,1.48,61.16,100.00,2.71,72.52,47.96,32.72,21.04,1484,27,5.76,5.90,4.66,6.62,4.14
Avalanche,col,Colorado Avalanche,COL,West,1578,2500,56.0,35.6,20.4,6.3,77.4,1.67,45.32,99.96,4.43,67.40,39.44,24.36,12.80,1506,17,9.02,14.06,6.74,4.86,2.10
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1568,2500,56.0,36.5,19.5,4.3,77.3,1.66,48.04,99.92,4.38,66.00,34.12,20.32,10.96,1496,22,23.34,23.72,11.82,9.52,5.66
Hurricanes,car,Carolina Hurricanes,CAR,Central,1555,2500,56.0,36.3,19.7,5.3,77.8,1.89,31.60,99.92,4.04,59.04,26.32,14.04,7.52,1492,25,19.00,34.72,13.12,9.04,4.72
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1541,2500,56.0,33.9,22.1,5.3,73.1,1.64,59.32,99.40,7.68,57.16,31.76,14.88,6.44,1514,9,35.52,26.80,11.86,4.68,2.84
Islanders,nyi,New York Islanders,NYI,East,1557,2500,56.0,33.8,22.2,6.1,73.8,2.27,31.20,97.48,7.11,52.28,27.52,13.52,6.36,1482,28,13.50,27.88,10.22,4.22,1.46
Bruins,bos,Boston Bruins,BOS,East,1552,2500,56.0,31.1,24.9,7.6,69.7,3.39,9.00,85.72,10.53,44.32,22.84,11.12,5.48,1473,31,-30.50,-0.08,-11.06,-10.08,-7.02
Jets,wpg,Winnipeg Jets,WPG,North,1529,2500,54.0,31.4,22.6,3.9,66.7,2.48,19.36,98.96,10.85,52.44,28.12,11.96,4.96,1509,15,3.06,33.36,11.02,3.56,1.16
Penguins,pit,Pittsburgh Penguins,PIT,East,1544,2500,56.0,34.7,21.3,4.1,73.6,2.23,31.40,97.72,7.04,48.72,23.76,10.52,4.84,1477,30,22.30,45.52,13.56,6.32,2.74
Capitals,wsh,Washington Capitals,WSH,East,1539,2500,56.0,33.5,22.5,6.3,73.2,2.44,28.28,96.76,7.63,45.44,21.60,10.12,4.60,1505,18,18.38,40.96,9.90,4.42,2.00
Panthers,fla,Florida Panthers,FLA,Central,1529,2500,56.0,33.5,22.5,6.2,73.2,2.65,7.24,99.88,7.57,41.32,16.44,8.00,3.64,1537,2,3.04,64.28,11.54,5.30,2.54
Canadiens,mtl,Montreal Canadiens,MTL,North,1515,2500,56.0,28.2,27.8,11.6,67.9,2.86,14.28,95.72,12.18,44.40,20.20,7.36,3.16,1503,19,2.48,40.42,8.60,1.76,0.66
Wild,min,Minnesota Wild,MIN,West,1526,2500,56.0,33.4,22.6,4.4,71.1,2.74,6.56,99.00,9.18,38.48,17.20,6.96,2.84,1494,23,-0.34,50.70,8.50,2.76,0.74
Oilers,edm,Edmonton Oilers,EDM,North,1511,2500,55.0,31.3,23.7,3.0,65.5,3.18,7.04,93.60,12.75,41.56,18.20,6.80,2.68,1511,13,-1.96,43.50,5.70,2.60,1.18
Blues,stl,St. Louis Blues,STL,West,1501,2500,56.0,25.7,30.3,8.5,59.8,4.97,0.08,38.20,18.86,11.64,4.72,1.68,0.80,1527,3,-18.22,-31.70,-12.28,-7.52,-3.40
Stars,dal,Dallas Stars,DAL,Central,1511,2500,56.0,23.0,33.0,12.5,58.5,5.32,0.00,30.52,20.24,9.36,3.64,1.56,0.52,1524,5,-8.20,-29.38,-9.06,-4.44,-2.08
Rangers,nyr,New York Rangers,NYR,East,1512,2500,56.0,27.3,28.7,6.3,60.9,5.44,0.04,10.92,17.63,4.76,2.36,0.88,0.28,1488,26,-4.86,-24.08,-3.64,-1.72,-0.92
Predators,nsh,Nashville Predators,NSH,Central,1487,2500,56.0,27.5,28.5,3.2,58.2,5.22,0.00,31.64,19.95,8.20,2.64,0.96,0.28,1512,11,-5.20,-12.36,-6.26,-2.94,-1.92
Flyers,phi,Philadelphia Flyers,PHI,East,1509,2500,56.0,27.3,28.7,6.4,61.0,5.42,0.08,11.12,17.57,4.44,1.92,0.56,0.20,1502,20,-16.62,-56.08,-14.48,-7.24,-3.70
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1484,2500,56.0,25.6,30.4,7.2,58.4,5.26,0.00,30.64,20.06,7.64,2.52,0.44,0.16,1507,16,-4.90,-10.56,-2.38,-2.36,-1.24
Kings,la,Los Angeles Kings,LAK,West,1478,2500,56.0,25.0,31.0,8.6,58.5,5.38,0.00,29.92,20.05,8.24,2.44,0.56,0.16,1480,29,-2.60,3.22,-2.06,-1.44,-0.24
Coyotes,ari,Arizona Coyotes,PHX,West,1475,2500,56.0,25.1,30.9,7.4,57.5,5.57,0.00,22.76,20.82,6.12,1.48,0.24,0.12,1514,8,-7.00,-16.34,-5.32,-3.06,-1.58
