Team Name,ESPN_ID,Team Name_1,HR_franch,Division,Elo Rating,Sims,Games,Wins,Losses,OT/SO L,Points,Div. Rk,Win Div.%,Playoffs%,Ovr. Rk,Make 2nd Rd,Make 3rd Rd,Make Finals,Win Finals,Rem. SOS,Rank,datestamp
Lightning,tb,Tampa Bay Lightning,TBL,Central,1595,1000,56,36.2,19.8,5.6,77.9,1.59,64.6,98.1,3.81,69.6,47.6,31.4,18.8,1514,10,2021-02-16
Bruins,bos,Boston Bruins,BOS,East,1573,1000,55,34.6,20.4,6.4,75.6,1.56,65.7,98.5,4.19,63.8,39.1,23.5,14.1,1494,23,2021-02-16
Avalanche,col,Colorado Avalanche,COL,West,1554,1000,51,29.7,21.3,5.3,64.8,2.41,31.3,91.2,8.4,56.9,32.4,17.9,9.4,1486,29,2021-02-16
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1550,1000,56,34,22,5.9,73.8,1.97,47.4,95.7,6.35,56.3,30.7,16.1,7.8,1491,25,2021-02-16
Hurricanes,car,Carolina Hurricanes,CAR,Central,1542,1000,56,33.7,22.3,4.9,72.4,2.54,21.4,90.9,7.29,48.8,20.7,11.1,6.2,1509,14,2021-02-16
Flyers,phi,Philadelphia Flyers,PHI,East,1540,1000,52,29.1,22.9,6.5,64.7,2.97,17.2,82.8,9.77,44.9,21.5,12,6,1512,12,2021-02-16
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1531,1000,56,32.8,23.2,6.5,72.1,2.01,47.2,94.5,7.58,51.5,27.7,13,5.9,1494,22,2021-02-16
Blues,stl,St. Louis Blues,STL,West,1532,1000,52,28.6,23.4,6.1,63.3,3.11,15.4,82.6,11.07,42.2,19.7,10,5.2,1493,24,2021-02-16
Islanders,nyi,New York Islanders,NYI,East,1540,1000,56,29.8,26.2,7.8,67.5,3.46,9.5,74.5,11.76,35.3,18.5,9,4.5,1508,16,2021-02-16
Canadiens,mtl,Montreal Canadiens,MTL,North,1515,1000,56,30.7,25.3,6.6,68.1,2.85,21.3,84.2,11.21,44.8,22.1,9.3,3.7,1484,31,2021-02-16
Jets,wpg,Winnipeg Jets,WPG,North,1515,1000,56,30.3,25.7,5.7,66.2,3.21,14.8,78.8,12.86,39,18.9,8.7,3,1510,13,2021-02-16
Flames,cgy,Calgary Flames,CGY,North,1515,1000,56,29.8,26.2,5.8,65.4,3.39,12.1,74.7,13.65,36.8,18,7.2,2.7,1486,30,2021-02-16
Capitals,wsh,Washington Capitals,WSH,East,1515,1000,53,26.3,26.7,7.6,60.1,4.41,3.6,52.7,15.54,24.4,9.3,3.6,1.9,1521,8,2021-02-16
Oilers,edm,Edmonton Oilers,EDM,North,1496,1000,56,28.2,27.8,4.6,60.9,4.32,3.9,49.7,18.01,21.7,9.9,3.5,1.5,1501,19,2021-02-16
Stars,dal,Dallas Stars,DAL,Central,1524,1000,55,27.2,27.8,9,63.5,4.26,4.1,55.6,14.38,23.2,10.1,3.4,1.4,1524,6,2021-02-16
Penguins,pit,Pittsburgh Penguins,PIT,East,1507,1000,56,28.7,27.3,5.9,63.4,4.43,2.5,50.6,15.54,20.3,8.4,3.7,1.4,1509,15,2021-02-16
Panthers,fla,Florida Panthers,FLA,Central,1506,1000,56,30.2,25.8,7,67.4,3.65,7.8,70.7,11.73,26.7,11.1,4.3,1.4,1531,3,2021-02-16
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1498,1000,56,27,29,8.5,62.4,4.84,0.9,39.3,16.73,14.9,4.2,2.3,1.1,1523,7,2021-02-16
Blue Jackets,cbj,Columbus Blue Jackets,CBJ,Central,1504,1000,56,26.6,29.4,8.6,61.9,4.97,1.2,35.4,17.25,12.9,5,2.1,1,1519,9,2021-02-16
Wild,min,Minnesota Wild,MIN,West,1498,1000,50,25.1,24.9,4.6,54.9,4.76,3,45.3,17.54,18,6.7,2.5,1,1502,18,2021-02-16
Canucks,van,Vancouver Canucks,VAN,North,1486,1000,56,25,31,5.4,55.4,5.41,0.7,17.5,22.98,6.2,3.4,1.3,0.7,1488,27,2021-02-16
Coyotes,ari,Arizona Coyotes,PHX,West,1489,1000,52,25.4,26.6,6.4,57.2,4.8,2,44.6,17.48,15.9,6.3,2,0.5,1487,28,2021-02-16
Predators,nsh,Nashville Predators,NSH,Central,1483,1000,55,24.8,30.2,4.8,54.3,6.26,0,10,23.08,3.9,1.3,0.2,0.2,1527,4,2021-02-16
Kings,la,Los Angeles Kings,LAK,West,1466,1000,55,22.9,32.1,8,53.8,6.4,0.1,13.7,23.47,3.7,1.8,0.4,0.2,1496,20,2021-02-16
Devils,nj,New Jersey Devils,NJD,East,1472,1000,53,23.9,29.1,7.3,55,5.72,1.2,24.5,20.53,7.4,1.5,0.3,0.1,1514,11,2021-02-16
Sharks,sj,San Jose Sharks,SJS,West,1464,1000,56,25.1,30.9,6.1,56.3,6.02,0.6,18,22.22,5,1.7,0.6,0.1,1488,26,2021-02-16
Ducks,ana,Anaheim Ducks,ANA,West,1453,1000,56,23.3,32.7,7.8,54.3,6.54,0.2,8.9,23.92,2,0.7,0.1,0.1,1494,21,2021-02-16
