Team Name,ESPN_ID,Team Name,HR_franch,Division,Elo Rating,Sims,Games,Wins,Losses,OT/SO L,Points,Div. Rk,Win Div.%,Playoffs%,Ovr. Rk,Make 2nd Rd,Make 3rd Rd,Make Finals,Win Finals,Rem. SOS,Rank
Lightning,tb,Tampa Bay Lightning,TBL,Central,1586,1000,56.0,34.3,21.7,6.1,74.6,1.92,55.4,94.1,5.16,64.3,43.3,26.1,16.9,1487,31
Bruins,bos,Boston Bruins,BOS,East,1560,1000,56.0,32.3,23.7,6.3,70.9,2.50,39.5,85.8,7.98,52.7,33.9,21.2,12.5,1494,28
Avalanche,col,Colorado Avalanche,COL,West,1550,1000,56.0,32.0,24.0,6.4,70.3,2.57,36.3,85.9,8.36,53.4,32.7,19.5,10.7,1494,27
Golden Knights,vgs,Vegas Golden Knights,VEG,West,1535,1000,56.0,30.7,25.3,6.3,67.7,3.14,24.7,76.2,10.74,43.6,22.3,10.8,5.3,1491,30
Islanders,nyi,New York Islanders,NYI,East,1534,1000,56.0,30.0,26.0,6.4,66.4,3.52,17.7,69.6,12.08,35.2,17.3,9.3,4.9,1501,11
Blues,stl,St. Louis Blues,STL,West,1526,1000,56.0,30.0,26.0,6.3,66.2,3.50,18.3,69.9,12.26,34.0,17.0,9.2,4.2,1497,19
Flames,cgy,Calgary Flames,CGY,North,1512,1000,56.0,29.3,26.7,6.5,65.1,3.45,20.2,69.4,13.51,37.1,19.9,8.2,4.1,1507,4
Flyers,phi,Philadelphia Flyers,PHI,East,1531,1000,56.0,29.8,26.2,6.4,66.0,3.62,16.7,67.2,12.45,33.9,16.4,7.8,3.9,1497,20
Jets,wpg,Winnipeg Jets,WPG,North,1507,1000,56.0,28.8,27.2,6.5,64.2,3.63,16.3,65.6,14.36,33.1,17.1,8.4,3.8,1504,8
Maple Leafs,tor,Toronto Maple Leafs,TOR,North,1516,1000,56.0,29.6,26.4,6.7,65.8,3.25,23.8,72.6,12.76,39.1,19.9,10.2,3.6,1499,13
Hurricanes,car,Carolina Hurricanes,CAR,Central,1528,1000,56.0,29.7,26.3,6.4,65.9,3.75,12.6,65.2,12.59,30.3,13.2,5.0,2.8,1495,25
Stars,dal,Dallas Stars,DAL,Central,1524,1000,56.0,29.4,26.6,6.4,65.2,3.96,8.2,59.9,13.33,31.2,12.7,6.0,2.6,1497,18
Capitals,wsh,Washington Capitals,WSH,East,1519,1000,56.0,28.6,27.4,6.5,63.7,4.22,9.9,55.8,14.90,26.8,11.7,5.7,2.6,1500,12
Canadiens,mtl,Montreal Canadiens,MTL,North,1497,1000,56.0,27.8,28.2,6.6,62.2,4.09,11.8,55.3,16.40,26.0,11.6,5.6,2.5,1496,24
Canucks,van,Vancouver Canucks,VAN,North,1510,1000,56.0,29.0,27.0,6.5,64.5,3.55,17.1,66.0,14.06,33.4,16.3,7.1,2.4,1497,17
Blue Jackets,cbj,Columbus Blue Jackets,CBJ,Central,1518,1000,56.0,29.0,27.0,6.4,64.5,4.08,9.4,57.7,14.06,26.5,12.0,4.9,2.2,1498,16
Predators,nsh,Nashville Predators,NSH,Central,1502,1000,56.0,27.8,28.2,6.4,62.1,4.72,5.2,44.0,16.73,19.2,8.9,3.9,2.2,1496,22
Penguins,pit,Pittsburgh Penguins,PIT,East,1514,1000,56.0,28.3,27.7,6.6,63.1,4.34,9.1,52.2,15.54,25.0,10.2,4.2,2.1,1494,29
Wild,min,Minnesota Wild,MIN,West,1499,1000,56.0,27.7,28.3,6.6,62.1,4.62,6.9,48.3,16.62,22.3,8.7,4.2,2.1,1496,23
Coyotes,ari,Arizona Coyotes,PHX,West,1490,1000,56.0,27.0,29.0,6.7,60.7,4.98,7.0,39.1,18.10,15.5,6.8,3.3,1.7,1495,26
Oilers,edm,Edmonton Oilers,EDM,North,1492,1000,56.0,27.5,28.5,6.5,61.6,4.32,9.0,50.1,17.16,25.4,12.5,4.2,1.5,1505,7
Blackhawks,chi,Chicago Blackhawks,CHI,Central,1493,1000,56.0,27.0,29.0,6.6,60.5,4.97,4.9,41.2,18.04,14.9,4.9,2.8,1.4,1499,14
Rangers,nyr,New York Rangers,NYR,East,1491,1000,56.0,26.5,29.5,6.6,59.5,5.25,4.9,35.0,19.18,15.0,6.0,2.6,1.2,1503,9
Panthers,fla,Florida Panthers,FLA,Central,1496,1000,56.0,27.0,29.0,6.7,60.7,5.06,4.2,35.6,18.13,12.8,4.9,2.7,1.1,1502,10
Devils,nj,New Jersey Devils,NJD,East,1468,1000,56.0,24.7,31.3,6.6,55.9,6.14,1.6,18.6,22.70,6.6,3.0,0.9,0.5,1505,6
Sharks,sj,San Jose Sharks,SJS,West,1478,1000,56.0,26.0,30.0,6.7,58.6,5.50,2.4,32.2,20.11,11.6,4.4,1.7,0.4,1496,21
Kings,la,Los Angeles Kings,LAK,West,1472,1000,56.0,25.7,30.3,6.8,58.2,5.66,2.6,26.7,20.58,11.6,4.5,2.0,0.4,1498,15
Senators,ott,Ottawa Senators,OTT,North,1448,1000,56.0,24.0,32.0,6.8,54.8,5.72,1.8,21.0,23.49,5.9,2.7,0.7,0.2,1508,3
Ducks,ana,Anaheim Ducks,ANA,West,1461,1000,56.0,24.8,31.2,6.6,56.3,6.03,1.8,21.7,22.31,8.0,3.6,1.4,0.1,1506,5
Sabres,buf,Buffalo Sabres,BUF,East,1459,1000,56.0,23.9,32.1,6.8,54.6,6.41,0.6,15.8,23.62,4.8,1.5,0.4,0.1,1510,2
Red Wings,det,Detroit Red Wings,DET,Central,1400,1000,56.0,19.8,36.2,7.1,46.6,7.54,0.1,2.3,28.69,0.8,0.1,0.0,0.0,1516,1
